Municipio,Provincia,Lugar,Dirección,Fecha,Hora,Ojo,Latitud,Longitud,Convoca,Marca en porceuta.es,Notas,Estado,Fuente
Algeciras,Cádiz,Plaza Alta,"Plaza Alta, Algeciras, 11201",2026-09-02,20:00,,"36,1312494","-5,447319",Esteban Ruzafa Pozo,Confirmada,"Ceuta no se vende, Ceuta se defiende",Publicada,Ambas
Algodonales,Cádiz,Plaza de la Constitución,"Plaza de la Constitución, 11680",2026-09-02,20:00,,"36,879693","-5,404776",,Confirmada,ALGODONALES CON CEUTA CEUTA ES ESPAÑA,Publicada,Ambas
Arcos de la Frontera,Cádiz,Paseo de Andalucía,"Paseo de Andalucía, Arcos de la Frontera",2026-09-02,20:00,,"36,7507361","-5,8144143",,Sin confirmar,,Publicada,Ambas
Barbate,Cádiz,Ayuntamiento de Barbate,"Ayuntamiento de Barbate, Barbate, 11160",2026-09-02,20:00,,"36,1928972","-5,9188807",Ayuntamiento de Barbate,Difundida,,Publicada,Ambas
Benalup-Casas Viejas,Cádiz,Ayuntamiento,"Ayuntamiento, Benalup-Casas Viejas, 11190",2026-09-02,20:00,,"36,3465024","-5,8121141",,Sin confirmar,,Publicada,Ambas
Cádiz,Cádiz,Plaza San Juan de Dios,"Plaza San Juan de Dios, Cádiz",2026-09-02,20:00,,"36,5302274","-6,2924416",Ayuntamiento de Cádiz,Difundida,,Publicada,Ambas
Chiclana de la Frontera,Cádiz,Ayuntamiento de Chiclana,"Ayuntamiento de Chiclana, Chiclana de la Frontera, 11130",2026-09-02,20:00,,"36,4196082","-6,1493454",,Confirmada,,Publicada,Ambas
Chipiona,Cádiz,Puerta del Ayuntamiento,"Puerta del Ayuntamiento, Chipiona, 11550",2026-09-02,20:00,,"36,7408967","-6,4358834",,Sin confirmar,,Publicada,Ambas
Conil de la Frontera,Cádiz,Ayuntamiento de Conil,,2026-09-02,20:00,,"36,277053","-6,08787",Nuevas Generaciones de Conil,Confirmada,,Solo en porceuta.es,porceuta.es
El Puerto de Santa María,Cádiz,"Plaza Isaac Peral, ante el Ayuntamiento","Plaza Isaac Peral, ante el Ayuntamiento",2026-09-02,20:00,,"36,600269","-6,225079",Ayuntamiento de El Puerto de Santa María,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Jerez de la Frontera,Cádiz,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, Jerez de la Frontera, 11403",2026-09-02,20:00,,"36,6830408","-6,1403948",,Difundida,Convocada por el Ayuntamiento,Publicada,Ambas
La Barca de la Florida,Cádiz,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, 11570",2026-09-02,20:00,,"36,649011","-5,933949",,Sin confirmar,,Publicada,Ambas
La Línea de la Concepcion,Cádiz,Plaza del ayuntamiento,,2026-09-02,20:00,,"36,159645","-5,350876",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Los Barrios,Cádiz,Puertas de la Casa Consistorial,"Puertas de la Casa Consistorial, Los Barrios, 11370",2026-09-02,20:00,,"36,1856385","-5,4928868",Ayuntamiento de Los Barrios / FEMP,Difundida,,Publicada,Ambas
Medina Sidonia,Cádiz,Frente al Ayuntamiento,Frente al Ayuntamiento,2026-09-02,20:00,,"36,456003","-5,927645",,Sin confirmar,,Publicada,Ambas
Rota,Cádiz,Castillo de la Luna,"Castillo de la Luna, Rota, 11520",2026-09-02,20:00,,"36,6169332","-6,3580723",Iniciativa vecinal / Por Ceuta,Confirmada,https://rotaaldia.com/art/49921/una-iniciativa-vecinal-promueve-en-rota-una-concentracion-pacifica-en-apoyo-a-ceuta-el-proximo-2-de-septiembre,Publicada,Ambas
San Fernando,Cádiz,Plaza del Rey,"Plaza del Rey, 11100",2026-09-02,20:00,,"36,464701","-6,198396",PP de San Fernando / convocatoria FEMP,Difundida,,Publicada,Ambas
San Martín del Tesorillo,Cádiz,Puerta del Ayuntamiento,"Puerta del Ayuntamiento, San Martín del Tesorillo, 11340",2026-09-02,20:00,,"36,3399688","-5,321205",Ayuntamiento de San Martín del Tesorillo,Difundida,,Publicada,Ambas
San Roque,Cádiz,Plaza de las Constituciones,"Plaza de las Constituciones, San Roque, 11360",2026-09-02,20:00,,"36,2104798","-5,391614",,Sin confirmar,,Publicada,Ambas
Setenil de las Bodegas,Cádiz,Puerta del Ayuntamiento,"Puerta del Ayuntamiento, Setenil de las Bodegas, 11692",2026-09-02,20:00,,"36,8640542","-5,1814492",,Sin confirmar,,Publicada,Ambas
Tarifa,Cádiz,Ayuntamiento de Tarifa,"Ayuntamiento de Tarifa, Tarifa, 11380",2026-09-02,20:00,,"36,0117733","-5,6020591",,Sin confirmar,"Ceuta no se vende, Ceuta se DEFIENDE. Pedro Sánchez dimisión",Publicada,Ambas
Ubrique,Cádiz,Plaza del Ayuntamiento,,2026-09-02,20:00,,"36,677423","-5,443188",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Vejer de la Frontera,Cádiz,"Plaza de España, ante el Ayuntamiento","Plaza de España, ante el Ayuntamiento",2026-09-02,20:00,,"36,251937","-5,967049",Ayuntamiento de Vejer de la Frontera / FEMP,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Villamartín,Cádiz,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, Villamartín",2026-09-02,20:00,,"36,8609598","-5,6417149",Ayuntamiento de Villamartín,Difundida,,Publicada,Ambas
Castro-Urdiales,Cantabria,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, 39700",2026-09-02,20:00,,"43,383975","-3,217505",Vecinos,Sin confirmar,"Ceuta no se vende, Ceuta se defiende.",Publicada,Ambas
El Astillero,Cantabria,"Ayuntamiento de El Astillero, C/ San José","Ayuntamiento de El Astillero, C/ San José",2026-09-02,20:00,,"43,40066","-3,81975",Ayuntamiento de El Astillero / FEMP,Difundida,Convocatoria confirmada y detectada en los barridos del 26-27/08/2026,Publicada,Ambas
Laredo,Cantabria,Ayuntamiento de Laredo,Ayuntamiento de Laredo,2026-09-02,20:00,,"43,409849","-3,414343",,Sin confirmar,,Publicada,Ambas
Los Corrales de Buelna,Cantabria,Ayuntamiento,Ayuntamiento,2026-09-02,20:00,,"43,255588","-4,068383",,Sin confirmar,,Publicada,Ambas
Renedo de Piélagos,Cantabria,Ayuntamiento de Renedo,Ayuntamiento de Renedo,2026-09-02,20:00,,"43,355811","-3,956361",Ayuntamiento,Difundida,,Publicada,Ambas
Santa María de Cayón,Cantabria,Jardines del Ayuntamiento,"Jardines del Ayuntamiento, 39694",2026-09-02,20:00,,"43,30976","-3,85548",,Confirmada,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Santander,Cantabria,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, Santander, 39002",2026-09-02,20:00,,"43,4618795","-3,8103163",,Confirmada,Recogido de prensa (El Diario de Madrid),Retirada · el listado oficial la marca sin confirmar: ubicación no especificada,Ambas
